"넷플릭스 오리지널 시리즈"	‎"넷플릭스 오리지널 시리즈"
‎[어두운 음악]	‎[어두운 음악]
‎[분위기가 고조되는 음악]	‎[분위기가 고조되는 음악]
‎[긴장되는 음악]	‎[긴장되는 음악]
‎[문이 달칵 열린다]	‎[문이 달칵 열린다]
‎(이 의원) ‎전하의 침소는	‎(이 의원) ‎전하의 침소는
‎절대로 엿봐선 안 된다	‎절대로 엿봐선 안 된다
‎알겠느냐	‎알겠느냐
‎(단이) ‎명심하겠습니다	‎(단이) ‎명심하겠습니다
‎[긴장되는 음악]	‎[긴장되는 음악]
‎[단이가 상을 탁 내려놓는다]	‎[단이가 상을 탁 내려놓는다]
‎[단이가 상을 달그락 든다]	‎[단이가 상을 달그락 든다]
‎[괴상한 신음이 들린다]	‎[괴상한 신음이 들린다]
‎[상을 탁 내려놓는다]	‎[상을 탁 내려놓는다]
‎[단이의 떨리는 숨소리]	‎[단이의 떨리는 숨소리]
‎[괴상한 신음이 들린다]	‎[괴상한 신음이 들린다]
‎[긴장감이 고조되는 음악] ‎[단이의 비명]	‎[긴장감이 고조되는 음악] ‎[단이의 비명]
‎[단이의 비명이 울려 퍼진다]	‎[단이의 비명이 울려 퍼진다]
‎[까마귀 울음]	‎[까마귀 울음]
‎- (군졸1) 죽여 주십시오! ‎- (군졸2) 죽여 주십시오!	‎- (군졸1) 죽여 주십시오! ‎- (군졸2) 죽여 주십시오!
‎밤새 한양성 곳곳에 ‎이와 똑같은 괘서가	‎밤새 한양성 곳곳에 ‎이와 똑같은 괘서가
‎(도진) ‎백 장이 넘게 나붙었습니다	‎(도진) ‎백 장이 넘게 나붙었습니다
‎살아 계신 전하가 붕어하셨다?	‎살아 계신 전하가 붕어하셨다?
‎[말 울음]	‎[말 울음]
‎이 글을 붙인 자들 ‎이 글을 쓴 자들	‎이 글을 붙인 자들 ‎이 글을 쓴 자들
‎(범일) ‎쓰라고 지시한 자들	‎(범일) ‎쓰라고 지시한 자들
‎모두 한 명도 빠짐없이 잡아들여라	‎모두 한 명도 빠짐없이 잡아들여라
‎삼족을 멸할 것이다	‎삼족을 멸할 것이다
‎이 글이	‎이 글이
‎성안 곳곳에 붙도록 ‎손 놓고 있었던 자들 또한	‎성안 곳곳에 붙도록 ‎손 놓고 있었던 자들 또한
‎그리될 것이다	‎그리될 것이다
‎(군졸2) ‎[울먹이며] ‎별장 나리, 살려 주십시오!	‎(군졸2) ‎[울먹이며] ‎별장 나리, 살려 주십시오!
‎[군졸2가 울먹인다] ‎(군졸1) ‎나리, 살려 주십시오!	‎[군졸2가 울먹인다] ‎(군졸1) ‎나리, 살려 주십시오!
‎[어두운 음악] ‎(군졸2) ‎살려 주십시오, 나리, 나리	‎[어두운 음악] ‎(군졸2) ‎살려 주십시오, 나리, 나리
‎(군졸1) ‎살려 주십시오, 나리, 살려 주십시오! ‎[군졸들의 신음]	‎(군졸1) ‎살려 주십시오, 나리, 살려 주십시오! ‎[군졸들의 신음]
‎[문이 벌컥 열린다]	‎[문이 벌컥 열린다]
‎(교리) ‎해원 조씨 가문이 ‎어린 유생들을 잡아들이고 있습니다	‎(교리) ‎해원 조씨 가문이 ‎어린 유생들을 잡아들이고 있습니다
‎(여자1) ‎아유, 아이고, 왜 이러시오 ‎[유생1의 신음]	‎(여자1) ‎아유, 아이고, 왜 이러시오 ‎[유생1의 신음]
‎아유, 아이고, 경석아, 경석아!	‎아유, 아이고, 경석아, 경석아!
‎경석아, 아유, 경석아, 경석아!	‎경석아, 아유, 경석아, 경석아!
‎[여자1의 다급한 신음] ‎[유생1의 힘겨운 신음]	‎[여자1의 다급한 신음] ‎[유생1의 힘겨운 신음]
‎(도사) ‎포박하라!	‎(도사) ‎포박하라!
‎[소란스럽다] ‎[유생들의 신음]	‎[소란스럽다] ‎[유생들의 신음]
‎(교리) ‎전하께서 두창으로 쓰러지신 지 ‎벌써 열흘째인데	‎(교리) ‎전하께서 두창으로 쓰러지신 지 ‎벌써 열흘째인데
‎그동안 전하를 알현한 사람은 ‎영의정 조학주 대감과	‎그동안 전하를 알현한 사람은 ‎영의정 조학주 대감과
‎조 대감의 따님이신 계비마마 ‎단 두 분뿐입니다	‎조 대감의 따님이신 계비마마 ‎단 두 분뿐입니다
‎이러니 전하께서 붕어하셨다는	‎이러니 전하께서 붕어하셨다는
‎참담한 괴소문이 도는 것 아닙니까	‎참담한 괴소문이 도는 것 아닙니까
‎[유생들의 비명]	‎[유생들의 비명]
‎[유생들의 고통스러운 신음]	‎[유생들의 고통스러운 신음]
‎[유생들의 신음이 계속된다]	‎[유생들의 신음이 계속된다]
‎그만!	‎그만!
‎(좌의정) ‎한양성 인근 서원의 ‎유생 89명이 뜻을 모아서	‎(좌의정) ‎한양성 인근 서원의 ‎유생 89명이 뜻을 모아서
‎이 괘서를 붙였다는 고변이 있었다	‎이 괘서를 붙였다는 고변이 있었다
