Palabra;Book 1;Book 2;Book 3;Book 4;Book 5;Suma Total
de;4428.0;233.0;2255.0;2563.0;307.0;9786.0
het;2786.0;133.0;1809.0;1578.0;202.0;6508.0
en;1833.0;158.0;1676.0;1730.0;381.0;5778.0
een;2448.0;93.0;1520.0;1315.0;152.0;5528.0
van;2184.0;76.0;828.0;1267.0;190.0;4545.0
hij;2220.0;17.0;882.0;1254.0;81.0;4454.0
dat;2160.0;58.0;1029.0;642.0;58.0;3947.0
in;1442.0;60.0;788.0;994.0;195.0;3479.0
ik;1470.0;51.0;1834.0;40.0;74.0;3469.0
zijn;1531.0;29.0;785.0;894.0;126.0;3365.0
te;1309.0;43.0;608.0;1092.0;34.0;3086.0
op;1329.0;50.0;701.0;600.0;117.0;2797.0
niet;1205.0;38.0;908.0;261.0;82.0;2494.0
was;593.0;54.0;763.0;700.0;33.0;2143.0
met;836.0;59.0;549.0;544.0;104.0;2092.0
die;879.0;34.0;518.0;488.0;114.0;2033.0
is;1614.0;16.0;225.0;21.0;108.0;1984.0
ze;935.0;137.0;569.0;19.0;14.0;1674.0
aan;583.0;28.0;414.0;492.0;72.0;1589.0
om;872.0;41.0;297.0;333.0;13.0;1556.0
voor;668.0;35.0;345.0;314.0;68.0;1430.0
maar;541.0;30.0;520.0;239.0;37.0;1367.0
er;693.0;21.0;412.0;184.0;28.0;1338.0
je;703.0;42.0;588.0;0.0;0.0;1333.0
naar;608.0;51.0;285.0;356.0;24.0;1324.0
had;314.0;28.0;508.0;390.0;11.0;1251.0
als;618.0;17.0;312.0;214.0;60.0;1221.0
hem;492.0;3.0;213.0;467.0;38.0;1213.0
gulliver;;;;1050.0;0.0;1050.0
wat;557.0;22.0;273.0;133.0;52.0;1037.0
zich;439.0;30.0;204.0;325.0;21.0;1019.0
haar;422.0;148.0;345.0;73.0;21.0;1009.0
door;359.0;7.0;230.0;324.0;64.0;984.0
heeft;895.0;9.0;52.0;2.0;22.0;980.0
nog;449.0;11.0;309.0;152.0;48.0;969.0
mijn;235.0;11.0;617.0;5.0;53.0;921.0
dan;399.0;11.0;336.0;122.0;45.0;913.0
den;7.0;0.0;0.0;830.0;76.0;913.0
ook;452.0;8.0;229.0;113.0;23.0;825.0
uit;298.0;18.0;262.0;212.0;29.0;819.0
of;418.0;10.0;203.0;128.0;19.0;778.0
me;142.0;12.0;619.0;0.0;4.0;777.0
bij;334.0;15.0;160.0;211.0;38.0;758.0
geen;335.0;5.0;196.0;102.0;60.0;698.0
zou;191.0;14.0;269.0;204.0;5.0;683.0
over;375.0;14.0;131.0;155.0;2.0;677.0
jozef;641.0;0.0;0.0;0.0;0.0;641.0
wel;296.0;5.0;199.0;69.0;11.0;580.0
we;365.0;16.0;187.0;0.0;2.0;570.0
toen;131.0;6.0;121.0;305.0;5.0;568.0
ellen;563.0;0.0;0.0;0.0;0.0;563.0
landgraaf;561.0;0.0;0.0;0.0;0.0;561.0
daar;314.0;4.0;78.0;133.0;30.0;559.0
meer;226.0;8.0;224.0;76.0;18.0;552.0
nu;241.0;16.0;184.0;82.0;29.0;552.0
zo;285.0;14.0;240.0;0.0;0.0;539.0
kon;69.0;4.0;270.0;191.0;3.0;537.0
man;355.0;2.0;91.0;57.0;10.0;515.0
al;184.0;7.0;222.0;55.0;32.0;500.0
zegt;476.0;0.0;9.0;0.0;1.0;486.0
werd;81.0;13.0;132.0;246.0;10.0;482.0
kan;382.0;4.0;63.0;5.0;18.0;472.0
hebben;303.0;5.0;94.0;53.0;0.0;455.0
tot;175.0;9.0;117.0;125.0;29.0;455.0
waren;82.0;8.0;97.0;240.0;5.0;432.0
zij;71.0;1.0;25.0;288.0;33.0;418.0
waar;183.0;5.0;106.0;91.0;23.0;408.0
heb;292.0;14.0;98.0;1.0;2.0;407.0
dit;141.0;13.0;80.0;126.0;33.0;393.0
toch;167.0;3.0;135.0;43.0;22.0;370.0
hoe;158.0;1.0;118.0;49.0;42.0;368.0
der;27.0;0.0;2.0;235.0;73.0;337.0
na;122.0;28.0;60.0;105.0;16.0;331.0
weer;154.0;9.0;89.0;75.0;0.0;327.0
kunnen;175.0;7.0;79.0;64.0;1.0;326.0
moet;250.0;7.0;43.0;3.0;22.0;325.0
goed;148.0;8.0;105.0;56.0;3.0;320.0
doen;165.0;7.0;68.0;72.0;6.0;318.0
mij;223.0;1.0;62.0;11.0;19.0;316.0
niets;193.0;2.0;78.0;26.0;6.0;305.0
twee;151.0;9.0;65.0;75.0;0.0;300.0
iets;180.0;3.0;89.0;23.0;3.0;298.0
worden;114.0;7.0;84.0;90.0;2.0;297.0
gaan;172.0;9.0;62.0;46.0;1.0;290.0
weet;231.0;1.0;51.0;0.0;2.0;285.0
deze;102.0;6.0;79.0;94.0;3.0;284.0
wilde;75.0;8.0;87.0;103.0;3.0;276.0
andere;136.0;6.0;65.0;61.0;0.0;268.0
zal;197.0;4.0;36.0;8.0;16.0;261.0
zoo;;;1.0;184.0;71.0;256.0
hun;85.0;7.0;65.0;84.0;14.0;255.0
guido;248.0;0.0;0.0;0.0;0.0;248.0
kwam;35.0;5.0;77.0;128.0;2.0;247.0
hier;152.0;3.0;45.0;27.0;20.0;247.0
af;114.0;9.0;83.0;40.0;1.0;247.0
uur;201.0;0.0;15.0;29.0;2.0;247.0
tijd;79.0;4.0;92.0;61.0;10.0;246.0
ja;88.0;27.0;96.0;1.0;34.0;246.0
hoofd;141.0;5.0;66.0;21.0;12.0;245.0
eens;72.0;1.0;99.0;50.0;23.0;245.0
ben;162.0;6.0;69.0;2.0;6.0;245.0
huis;139.0;0.0;49.0;54.0;2.0;244.0
wij;118.0;3.0;16.0;65.0;42.0;244.0
zag;29.0;13.0;114.0;74.0;13.0;243.0
wil;161.0;8.0;47.0;5.0;21.0;242.0
tegen;115.0;6.0;52.0;65.0;3.0;241.0
moest;30.0;5.0;60.0;126.0;18.0;239.0
alleen;118.0;7.0;82.0;24.0;2.0;233.0
vraagt;220.0;2.0;3.0;0.0;0.0;225.0
vrouw;141.0;5.0;52.0;21.0;2.0;221.0
zien;92.0;6.0;54.0;63.0;6.0;221.0
maken;133.0;1.0;30.0;54.0;1.0;219.0
brian;218.0;0.0;0.0;0.0;0.0;218.0
gaat;190.0;3.0;16.0;5.0;3.0;217.0
veel;103.0;5.0;67.0;34.0;7.0;216.0
koning;;;;210.0;6.0;216.0
dus;110.0;5.0;82.0;17.0;1.0;215.0
hadden;56.0;5.0;86.0;67.0;0.0;214.0
harry;213.0;0.0;0.0;0.0;0.0;213.0
alle;72.0;2.0;26.0;106.0;5.0;211.0
ons;79.0;3.0;41.0;49.0;39.0;211.0
laten;111.0;3.0;52.0;44.0;0.0;210.0
zei;51.0;30.0;126.0;1.0;0.0;208.0
misschien;120.0;3.0;80.0;4.0;0.0;207.0
ging;54.0;14.0;61.0;77.0;1.0;207.0
even;137.0;3.0;54.0;8.0;4.0;206.0
alles;55.0;2.0;65.0;81.0;2.0;205.0
leven;64.0;1.0;99.0;29.0;12.0;205.0
