,Palabra,Categoría Gramatical,Oxford3000,Oxford5000,A clash of kings,A game of thrones,Name of the wind,A storm of Swords
0,a,indefinite article,a1,a1,7587,6393,7621,9658
1,abandon,verb,b2,b2,4,3,2,8
2,ability,noun,a2,a2,0,1,4,2
3,able,adjective,a2,a2,47,34,49,36
4,abolish,verb,-1,c1,0,0,0,1
5,abortion,noun,-1,c1,0,0,0,0
6,about,adverb,a1,a1,327,258,607,461
7,about,preposition,a1,a1,0,0,0,0
8,above,adverb,a1,a1,104,77,47,150
9,above,preposition,a1,a1,0,0,0,0
10,abroad,adverb,a2,a2,1,0,0,1
11,absence,noun,-1,c1,8,4,4,5
12,absent,adjective,-1,c1,0,1,4,1
13,absolute,adjective,b2,b2,0,1,1,1
14,absolutely,adverb,b1,b1,0,0,10,2
15,absorb,verb,-1,b2,0,0,1,0
16,abstract,adjective,-1,b2,0,0,1,0
17,absurd,adjective,-1,c1,4,4,1,9
18,abundance,noun,-1,c1,0,0,0,1
19,abuse,noun,-1,c1,1,0,0,0
20,abuse,verb,-1,c1,0,0,0,0
21,academic,adjective,b1,b1,0,0,2,0
22,academic,noun,b2,b2,0,0,0,0
23,academy,noun,-1,c1,0,0,0,0
24,accelerate,verb,-1,c1,0,0,0,0
25,accent,noun,-1,b2,1,5,19,3
26,accept,verb,a2,a2,15,5,7,12
27,acceptable,adjective,b2,b2,0,0,0,0
28,acceptance,noun,-1,c1,1,1,0,2
29,access,noun,b1,b1,3,0,13,1
30,access,verb,b1,b1,0,0,0,0
31,accessible,adjective,-1,c1,0,0,1,0
32,accident,noun,a2,a2,0,2,4,0
33,accidentally,adverb,-1,b2,0,0,7,0
34,accommodate,verb,-1,b2,0,0,0,0
35,accommodation,noun,b1,b1,0,0,0,0
36,accompany,verb,b2,b2,1,2,2,3
37,accomplish,verb,-1,b2,4,1,3,2
38,accomplishment,noun,-1,c1,1,1,0,0
39,accordance,noun,-1,c1,0,0,0,0
40,according to,preposition,a2,a2,0,0,0,0
41,accordingly,adverb,-1,c1,2,0,0,1
42,account,noun,b1,b1,14,6,10,13
43,account,verb,b2,b2,0,0,0,0
44,accountability,noun,-1,c1,0,0,0,0
45,accountable,adjective,-1,c1,0,0,0,0
46,accountant,noun,-1,b2,0,0,0,0
47,accounting,noun,-1,-1,0,0,0,0
48,accumulate,verb,-1,c1,0,0,0,0
49,accumulation,noun,-1,c1,0,1,0,0
50,accuracy,noun,-1,b2,0,0,2,0
51,accurate,adjective,b2,b2,1,1,5,0
52,accurately,adverb,-1,b2,0,0,0,0
53,accusation,noun,-1,c1,0,4,0,3
54,accuse,verb,b2,b2,1,3,0,3
55,accused,noun,-1,c1,4,6,4,9
56,achieve,verb,a2,a2,2,0,1,0
57,achievement,noun,b1,b1,0,0,0,0
58,acid,adjective,-1,c1,1,1,4,2
59,acid,noun,-1,b2,0,0,0,0
60,acknowledge,verb,b2,b2,0,0,0,1
61,acquire,verb,b2,b2,1,0,1,0
62,acquisition,noun,-1,c1,0,0,2,0
63,acre,noun,-1,c1,0,1,1,0
64,across,adverb,a1,a1,245,257,166,253
65,across,preposition,a1,a1,0,0,0,0
66,act,noun,b1,b1,10,11,17,9
67,act,verb,a2,a2,0,0,0,0
68,action,noun,a1,a1,2,2,12,2
69,activate,verb,-1,b2,0,0,0,0
70,activation,noun,-1,c1,0,0,0,0
71,active,adjective,a2,a2,0,0,0,0
72,activist,noun,-1,c1,0,0,0,0
73,activity,noun,a1,a1,0,1,6,1
74,actor,noun,a1,a1,0,0,4,0
75,actress,noun,a1,a1,0,0,0,0
76,actual,adjective,b2,b2,3,7,1,14
77,actually,adverb,a2,a2,0,1,73,0
78,acute,adjective,-1,c1,0,0,0,0
79,ad,noun,b1,b1,0,1,0,5
80,adapt,verb,b2,b2,0,0,0,0
81,adaptation,noun,-1,c1,0,0,0,0
82,add,verb,a1,a1,9,2,10,5
83,addiction,noun,-1,b2,0,0,1,0
84,addition,noun,b1,b1,3,1,12,0
85,additional,adjective,b2,b2,0,0,2,0
86,additionally,adverb,-1,b2,1,0,0,0
87,address,noun,a1,a1,1,2,3,2
88,address,verb,b2,b2,0,0,0,0
89,adequate,adjective,-1,b2,0,0,0,3
90,adequately,adverb,-1,b2,0,0,0,0
91,adhere,verb,-1,c1,0,0,0,0
92,adjacent,adjective,-1,c1,0,0,0,0
93,adjust,verb,-1,b2,1,3,1,2
94,adjustment,noun,-1,c1,0,0,2,0
95,administer,verb,-1,c1,0,0,0,0
96,administration,noun,b2,b2,0,0,0,0
97,administrative,adjective,-1,c1,0,0,0,0
98,administrator,noun,-1,c1,0,0,0,0
99,admire,verb,b1,b1,2,2,1,2
100,admission,noun,-1,c1,2,0,8,1
101,admit,verb,b1,b1,14,13,30,18
102,adolescent,noun,-1,c1,0,0,0,0
103,adopt,verb,b2,b2,1,0,0,0
104,adoption,noun,-1,c1,0,0,0,0
105,adult,adjective,a2,a2,0,1,0,0
106,adult,noun,a1,a1,0,0,0,0
107,advance,adjective,b2,b2,2,1,4,1
108,advance,noun,b2,b2,0,0,0,0
109,advance,verb,b2,b2,0,0,0,0
110,advanced,adjective,b1,b1,2,1,16,3
111,advantage,noun,a2,a2,2,0,16,2
