Palabra;Categoria gramatical;Oxford5000;Voc;aGameOfThrones;aClashOfKings.1;aSTormOfSwords;Hp1;Hp2
a;indefinite article;a1;;0.0;0.0;0.0;0.0;0.0
abandon;verb;b2;;3;4.0;8.0;0.0;0.0
ability;noun;a2;;1;0.0;2.0;0.0;0.0
able;adjective;a2;;34;47.0;36.0;26.0;36.0
abolish;verb;c1;;0.0;0.0;1.0;0.0;0.0
abortion;noun;c1;;0.0;0.0;0.0;0.0;0.0
about;adverb;a1;;258;327.0;461.0;225.0;199.0
about;preposition;a1;;0.0;0.0;0.0;0.0;0.0
above;adverb;a1;;77;104.0;150.0;16.0;21.0
above;preposition;a1;;0.0;0.0;0.0;0.0;0.0
abroad;adverb;a2;;0.0;1.0;1.0;0.0;0.0
absence;noun;c1;;4;8.0;5.0;0.0;1.0
absent;adjective;c1;;1;0.0;1.0;0.0;2.0
absolute;adjective;b2;;1;0.0;1.0;0.0;0.0
absolutely;adverb;b1;;0.0;0.0;2.0;2.0;2.0
absorb;verb;b2;;0.0;0.0;0.0;0.0;0.0
abstract;adjective;b2;;0.0;0.0;0.0;0.0;0.0
absurd;adjective;c1;;4;4.0;9.0;1.0;1.0
abundance;noun;c1;;0.0;0.0;1.0;0.0;0.0
abuse;noun;c1;;0.0;1.0;0.0;0.0;0.0
abuse;verb;c1;;0.0;0.0;0.0;0.0;0.0
academic;adjective;b1;;0.0;0.0;0.0;0.0;0.0
academic;noun;b2;;0.0;0.0;0.0;0.0;0.0
academy;noun;c1;;0.0;0.0;0.0;0.0;0.0
