Palabra;Categoría Gramatical;Oxford3000;Oxford5000;Voc;aGameOfThrones;aClashOfKings.1;aSTormOfSwords;Hp1;Hp2;Hp3;Hp4;Hp5;Hp6;Hp7;NameOfTheWind;theSlowRegardOfSilentThings;Pride and prejudice;Suma Total
the;definite article;a1;a1;1.0;17703.0;18930.0;24027.0;3641.0;4360.0;5269.0;9668.0;12045.0;7663.0;10691.0;12870.0;1950.0;4331.0;133148.0
and;conjunction;a1;a1;1.0;8899.0;9724.0;12832.0;1939.0;2306.0;2747.0;5006.0;6372.0;4091.0;5530.0;6061.0;1106.0;3584.0;70197.0
to;infinitive marker;a1;a1;1.0;6551.0;7286.0;9441.0;1861.0;2130.0;2626.0;4808.0;6346.0;4275.0;4938.0;6425.0;641.0;4162.0;61490.0
of;preposition;a1;a1;1.0;5834.0;7179.0;8392.0;1267.0;1751.0;2120.0;3992.0;5459.0;3436.0;4249.0;5972.0;752.0;3610.0;54013.0
he;pronoun;a1;a1;1.0;5408.0;5628.0;7695.0;1761.0;1604.0;2098.0;3992.0;5069.0;3571.0;4220.0;3369.0;93.0;1325.0;45833.0
was;;;;;3888.0;3975.0;5366.0;1186.0;1328.0;1687.0;2747.0;3618.0;2381.0;2769.0;3540.0;770.0;1843.0;35098.0
his;determiner;a1;a1;1.0;5076.0;4829.0;6269.0;937.0;1249.0;1491.0;2582.0;3248.0;2231.0;2623.0;2390.0;54.0;1257.0;34236.0
you;pronoun;a1;a1;1.0;3482.0;3870.0;5408.0;1037.0;1131.0;1425.0;2286.0;3663.0;2564.0;2596.0;3373.0;48.0;1326.0;32209.0
it;noun;b1;b1;2.0;3055.0;3335.0;4460.0;1185.0;1273.0;1434.0;2370.0;3173.0;2166.0;3014.0;4088.0;850.0;1535.0;31938.0
in;adverb;a1;a1;1.0;3233.0;3303.0;4325.0;966.0;1096.0;1240.0;2191.0;3130.0;1908.0;2280.0;3020.0;358.0;1880.0;28930.0
that;adverb;b1;b1;2.0;2401.0;2748.0;3952.0;688.0;755.0;882.0;1718.0;2622.0;2120.0;2153.0;2514.0;219.0;1539.0;24311.0
had;;;;;2848.0;2851.0;3706.0;701.0;728.0;920.0;1870.0;2347.0;1648.0;1972.0;1548.0;151.0;1172.0;22462.0
said;;;;;1947.0;1454.0;2273.0;794.0;1218.0;1477.0;2638.0;3945.0;2441.0;1973.0;1724.0;4.0;401.0;22289.0
her;determiner;a1;a1;1.0;3645.0;3166.0;4016.0;181.0;296.0;407.0;892.0;1773.0;846.0;1068.0;1312.0;974.0;2201.0;20777.0
as;adverb;a2;a2;1.0;2583.0;2776.0;3512.0;525.0;610.0;668.0;1363.0;1800.0;1231.0;1442.0;2091.0;213.0;1180.0;19994.0
she;pronoun;a1;a1;1.0;2869.0;2786.0;3566.0;252.0;278.0;368.0;924.0;1578.0;835.0;1047.0;1477.0;1316.0;1691.0;18987.0
harry;;;;;0.0;4.0;2.0;1339.0;1757.0;2053.0;3158.0;4077.0;2772.0;3128.0;0.0;0.0;0.0;18290.0
with;preposition;a1;a1;1.0;2428.0;2335.0;2959.0;416.0;505.0;665.0;1147.0;1587.0;1067.0;1153.0;1652.0;213.0;1052.0;17179.0
at;preposition;a1;a1;1.0;1690.0;1593.0;2229.0;625.0;706.0;827.0;1702.0;2185.0;1304.0;1406.0;1612.0;128.0;787.0;16794.0
him;pronoun;a1;a1;1.0;2503.0;2178.0;2978.0;501.0;499.0;728.0;1363.0;1611.0;1025.0;1303.0;822.0;52.0;752.0;16315.0
but;conjunction;a1;a1;1.0;1488.0;2075.0;3130.0;485.0;478.0;575.0;990.0;1389.0;1110.0;1195.0;1526.0;262.0;1002.0;15705.0
for;preposition;a1;a1;1.0;1696.0;1934.0;2570.0;371.0;465.0;555.0;981.0;1326.0;984.0;1027.0;1919.0;184.0;1060.0;15072.0
on;adverb;a1;a1;1.0;1613.0;1660.0;2169.0;637.0;638.0;751.0;1234.0;1764.0;940.0;1120.0;1265.0;150.0;715.0;14656.0
not;adverb;a1;a1;1.0;1864.0;2048.0;2521.0;237.0;267.0;278.0;694.0;1604.0;1150.0;1192.0;1014.0;177.0;1421.0;14467.0
they;pronoun;a1;a1;1.0;1565.0;2011.0;2406.0;691.0;557.0;697.0;1299.0;1507.0;765.0;1315.0;884.0;74.0;597.0;14368.0
be;verb;a1;a1;1.0;1102.0;1500.0;2032.0;367.0;401.0;415.0;762.0;1058.0;781.0;768.0;950.0;119.0;1240.0;11495.0
my;determiner;a1;a1;1.0;1394.0;1633.0;2170.0;106.0;195.0;204.0;440.0;347.0;295.0;428.0;3224.0;8.0;701.0;11145.0
have;verb;a1;a1;1.0;1172.0;1513.0;2058.0;297.0;290.0;359.0;675.0;958.0;802.0;808.0;935.0;37.0;839.0;10743.0
from;preposition;a1;a1;1.0;1238.0;1354.0;1649.0;241.0;337.0;379.0;716.0;1079.0;554.0;849.0;1017.0;100.0;493.0;10006.0
were;;;;;1113.0;1199.0;1659.0;306.0;348.0;399.0;887.0;992.0;580.0;762.0;961.0;152.0;565.0;9923.0
is;;;;;1436.0;1507.0;2004.0;175.0;222.0;254.0;570.0;701.0;544.0;595.0;942.0;7.0;857.0;9814.0
