Palabra;Categoría Gramatical;Oxford3000;Oxford5000;aGameOfThrones;aClashOfKings.1;aSTormOfSwords;Hp1;Hp2;Hp3;Hp4;Hp5;Hp6;Hp7;NameOfTheWind;theSlowRegardOfSilentThings;Pride and prejudice
a;indefinite article;a1;a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
abandon;verb;b2;b2;3;4.0;8.0;0.0;0.0;0.0;0.0;6.0;2.0;2.0;2.0;0.0;0.0
ability;noun;a2;a2;1;0.0;2.0;0.0;0.0;1.0;2.0;7.0;10.0;4.0;4.0;0.0;0.0
able;adjective;a2;a2;34;47.0;36.0;26.0;36.0;35.0;50.0;97.0;82.0;73.0;49.0;1.0;54.0
abolish;verb;-1;c1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
abortion;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
about;adverb;a1;a1;258;327.0;461.0;225.0;199.0;252.0;512.0;595.0;373.0;368.0;607.0;36.0;122.0
about;preposition;a1;a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
above;adverb;a1;a1;77;104.0;150.0;16.0;21.0;21.0;46.0;58.0;23.0;42.0;47.0;21.0;21.0
above;preposition;a1;a1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
abroad;adverb;a2;a2;0.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0;9.0;0.0;0.0;4.0
absence;noun;-1;c1;4;8.0;5.0;0.0;1.0;1.0;7.0;11.0;3.0;8.0;4.0;0.0;27.0
absent;adjective;-1;c1;1;0.0;1.0;0.0;2.0;1.0;1.0;2.0;3.0;1.0;4.0;0.0;4.0
absolute;adjective;b2;b2;1;0.0;1.0;0.0;0.0;1.0;3.0;3.0;2.0;2.0;1.0;1.0;4.0
absolutely;adverb;b1;b1;0.0;0.0;2.0;2.0;2.0;2.0;4.0;19.0;5.0;6.0;10.0;1.0;18.0
absorb;verb;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0
abstract;adjective;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
absurd;adjective;-1;c1;4;4.0;9.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;0.0;5.0
abundance;noun;-1;c1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
abuse;noun;-1;c1;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;2.0;0.0;0.0;2.0
abuse;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
academic;adjective;b1;b1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0
academic;noun;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
academy;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0
accelerate;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
accent;noun;-1;b2;5;1.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;19.0;0.0;4.0
accept;verb;a2;a2;5;15.0;12.0;2.0;1.0;2.0;8.0;7.0;9.0;13.0;7.0;0.0;17.0
acceptable;adjective;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;3.0;0.0;0.0;0.0;6.0
acceptance;noun;-1;c1;1;1.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0
access;noun;b1;b1;0.0;3.0;1.0;0.0;0.0;0.0;1.0;3.0;1.0;5.0;13.0;0.0;0.0
access;verb;b1;b1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
accessible;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0
accident;noun;a2;a2;2;0.0;0.0;1.0;3.0;3.0;8.0;10.0;6.0;9.0;4.0;0.0;6.0
accidentally;adverb;-1;b2;0.0;0.0;0.0;2.0;5.0;6.0;7.0;8.0;3.0;3.0;7.0;0.0;3.0
accommodate;verb;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0
accommodation;noun;b1;b1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
accompany;verb;b2;b2;2;1.0;3.0;0.0;0.0;0.0;2.0;3.0;3.0;4.0;2.0;0.0;3.0
accomplish;verb;-1;b2;1;4.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0
accomplishment;noun;-1;c1;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
accordance;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0
according to;preposition;a2;a2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
accordingly;adverb;-1;c1;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;6.0
account;noun;b1;b1;6;14.0;13.0;1.0;1.0;2.0;3.0;11.0;4.0;6.0;10.0;0.0;38.0
account;verb;b2;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
accountability;noun;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
accountable;adjective;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
accountant;noun;-1;b2;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
accounting;noun;-1;-1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
accumulate;verb;-1;c1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
accumulation;noun;-1;c1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
accuracy;noun;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0
accurate;adjective;b2;b2;1;1.0;0.0;0.0;1.0;0.0;0.0;3.0;3.0;1.0;5.0;0.0;1.0
accurately;adverb;-1;b2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
